season,person_id,player_name,allocated
2016,199,Jasmyne Spencer,0
2016,203,Jen Buczkowski,0
2016,204,Jen Hoy,0
2016,208,Jennifer Skogerboe,0
2016,212,Jessica McDonald,0
2016,216,Joanna Lohman,0
2016,228,Julie Ertz,1
2016,230,Julie King,0
2016,232,Kassey Kallman,0
2016,233,Kat Williamson,0
2016,238,Katherine Reynolds,0
2016,242,Katie Naughton,0
2016,243,Katie Schoepfer,0
2016,244,Katie Stengel,0
2016,253,Kealia Ohai,0
2016,255,Keelin Winters,0
2016,257,Kelley O'Hara,1
2016,259,Kelly Conheeney,0
2016,263,Kendall Fletcher,0
2016,270,Kiersten Dallstream,0
2016,272,Kim DeCesare,0
2016,276,Kristen Edmonds,0
2016,277,Kristen Hamilton,0
2016,280,Kristie Mewis,0
2016,281,Kristin Grubka,0
2016,284,Kylie Strom,0
2016,290,Lauren Barnes,0
2016,306,Lindsay Elston,0
2016,308,Lindsey Horan,1
2016,314,Lo'eau LaBonta,0
2016,321,Lynn Williams,0
2016,325,Maddy Evans,0
2016,329,Makenzy Doniak,0
2016,332,Mallory Weber,0
2016,334,Mandy Laddish,0
2016,348,Mary Luba,0
2016,349,Maureen Fitzgerald,0
2016,350,Maya Hayes,0
2016,351,McCall Zerboni,0
2016,352,McKenzie Berryhill,0
2016,354,Meg Morris,0
2016,357,Megan Oyster,0
2016,358,Megan Rapinoe,1
2016,361,Meghan Klingenberg,1
2016,364,Meleana Shim,0
2016,366,Melissa Henderson,0
2016,368,Meredith Speck,0
2016,369,Merritt Mathias,0
2016,371,Michaela Hahn,0
2016,374,Michelle Cruz,0
2016,379,Mollie Pathman,0
2016,381,Molly Menchel,0
2016,385,Morgan Brian,1
2016,386,Morgan Marlborough,0
2016,394,Natasha Kai,0
2016,404,Nikki Stanton,0
2016,411,Paige Nielsen,0
2016,421,Rachel Wood,0
2016,426,Rebecca Moros,0
2016,440,Sam Lofton,0
2016,441,Sam Mewis,1
2016,442,Sam Witteman,0
2016,443,Samantha Johnson,0
2016,445,Sarah Gorden,0
2016,446,Sarah Hagen,0
2016,449,Sarah Killion,0
2016,453,Shade Pratt,0
2016,455,Shawna Gordon,0
2016,456,Shea Groom,0
2016,466,Stephanie McCaffrey,0
2016,467,Stephanie Ochs,0
2016,469,Stephanie Verdoia,0
2016,475,Taylor Comeau,0
2016,476,Taylor Lytle,0
2016,477,Taylor Smith,0
2016,481,Tessa Florio-Gavilsky,0
2016,488,Tiffany McCarty,0
2016,489,Tiffany Weimer,0
2016,491,Tobin Heath,1
2016,492,Toni Pressley,0
2016,493,Tori Huster,0
2016,496,Vanessa DiBernardo,0
2016,501,Whitney Church,0
2016,502,Whitney Engen,1
2016,503,Yael Averbuch,0
2017,1,Abby Dahlkemper,0
2017,10,Alex Arlitt,0
2017,11,Alex Morgan,1
2017,14,Alexa Newfield,0
2017,15,Ali Krieger,1
2017,18,Allie Long,1
2017,21,Alyssa Kleiner,0
2017,22,Alyssa Mautz,0
2017,24,Amanda Frisbie,0
2017,27,Amber Brooks,0
2017,31,Amy Rodriguez,1
2017,35,Angela Salem,0
2017,39,Arielle Ship,0
2017,40,Arin Wright,0
2017,43,Ashley Hatch,0
2017,44,Ashley Herndon,0
2017,48,Becky Sauerbrunn,1
2017,50,Beverly Yanez,0
2017,57,Brittany Kolmel,0
2017,58,Brittany Ratcliffe,0
2017,59,Brooke Elby,0
2017,65,Cali Farquharson,0
2017,66,Cameron Castleberry,0
2017,67,Cami Privett,0
2017,70,Camille Levin,0
2017,72,Caprice Dydasco,0
