game_id,game_date,season,platform,streaming,broadcast
orlando-pride-vs-portland-thorns-2019-05-11,5/11/2019,2019,,,
utah-royals-vs-houston-dash-2019-05-11,5/11/2019,2019,,,
sky-blue-vs-washington-spirit-2019-05-11,5/11/2019,2019,,,
houston-dash-vs-orlando-pride-2019-05-05,5/5/2019,2019,,,
washington-spirit-vs-reign-2019-05-04,5/4/2019,2019,,,
north-carolina-courage-vs-sky-blue-2019-05-04,5/4/2019,2019,,,
utah-royals-vs-chicago-red-stars-2019-05-03,5/3/2019,2019,,,
sky-blue-vs-portland-thorns-2019-04-28,4/28/2019,2019,,,
houston-dash-vs-north-carolina-courage-2019-04-28,4/28/2019,2019,,,
chicago-red-stars-vs-reign-2019-04-28,4/28/2019,2019,,,
orlando-pride-vs-utah-royals-2019-04-27,4/27/2019,2019,,,
reign-vs-orlando-pride-2019-04-21,4/21/2019,2019,,,
utah-royals-vs-washington-spirit-2019-04-20,4/20/2019,2019,,,
sky-blue-vs-houston-dash-2019-04-20,4/20/2019,2019,,,
chicago-red-stars-vs-portland-thorns-2019-04-20,4/20/2019,2019,,,
north-carolina-courage-vs-orlando-pride-2019-04-17,4/17/2019,2019,,,
houston-dash-vs-reign-2019-04-14,4/14/2019,2019,,,
orlando-pride-vs-portland-thorns-2019-04-14,4/14/2019,2019,,,
washington-spirit-vs-sky-blue-2019-04-13,4/13/2019,2019,,,
north-carolina-courage-vs-chicago-red-stars-2019-04-13,4/13/2019,2019,,,
north-carolina-courage-vs-houston-dash-2019-09-17,9/17/2019,2019,,,
chicago-red-stars-vs-portland-thorns-2019-10-20,10/20/2019,2019,,,
north-carolina-courage-vs-reign-2019-10-20,10/20/2019,2019,,,
north-carolina-courage-vs-chicago-red-stars-2019-10-27,10/27/2019,2019,,,
