"game_id","game_date","season"
"portland-thorns-vs-sky-blue-2015-07-03",2015-07-03,2015
"houston-dash-vs-sky-blue-2015-08-07",2015-08-07,2015
"sky-blue-vs-houston-dash-2015-05-31",2015-05-31,2015
"portland-thorns-vs-houston-dash-2016-09-07",2016-09-07,2016
"western-new-york-flash-vs-kansas-city-2016-07-23",2016-07-23,2016
"western-new-york-flash-vs-houston-dash-2016-08-27",2016-08-27,2016
"seattle-reign-vs-western-new-york-flash-2016-07-16",2016-07-16,2016
"houston-dash-vs-washington-spirit-2016-08-18",2016-08-18,2016
"portland-thorns-vs-seattle-reign-2016-07-30",2016-07-30,2016
"portland-thorns-vs-washington-spirit-2016-05-21",2016-05-21,2016
"washington-spirit-vs-portland-thorns-2016-05-07",2016-05-07,2016
"kansas-city-vs-boston-breakers-2016-08-28",2016-08-28,2016
"seattle-reign-vs-orlando-pride-2016-07-23",2016-07-23,2016
"washington-spirit-vs-chicago-red-stars-2016-09-30",2016-09-30,2016
"boston-breakers-vs-chicago-red-stars-2016-05-07",2016-05-07,2016
"boston-breakers-vs-orlando-pride-2016-07-31",2016-07-31,2016
"washington-spirit-vs-western-new-york-flash-2016-10-09",2016-10-09,2016
"sky-blue-vs-chicago-red-stars-2016-08-27",2016-08-27,2016
"chicago-red-stars-vs-boston-breakers-2016-06-18",2016-06-18,2016
"orlando-pride-vs-washington-spirit-2016-08-26",2016-08-26,2016
"washington-spirit-vs-chicago-red-stars-2016-07-09",2016-07-09,2016
"boston-breakers-vs-houston-dash-2016-08-31",2016-08-31,2016
"washington-spirit-vs-orlando-pride-2016-06-18",2016-06-18,2016
"houston-dash-vs-sky-blue-2016-04-29",2016-04-29,2016
"washington-spirit-vs-western-new-york-flash-2016-09-03",2016-09-03,2016
"boston-breakers-vs-sky-blue-2016-07-17",2016-07-17,2016
"seattle-reign-vs-houston-dash-2016-06-12",2016-06-12,2016
"western-new-york-flash-vs-portland-thorns-2016-06-17",2016-06-17,2016
"boston-breakers-vs-kansas-city-2016-05-22",2016-05-22,2016
"sky-blue-vs-seattle-reign-2016-06-19",2016-06-19,2016
